image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.849917,bus,van,False
drive_022,2,3,0.713628,car,car,True
drive_022,3,1,0.897275,car,car,True
drive_022,4,4,0.695694,car,car,True
drive_022,5,5,0.804322,truck,bus,False
drive_033,1,9,0.790064,car,car,True
drive_033,2,1,0.916605,bus,van,False
drive_033,3,2,0.790548,truck,bus,False
drive_033,5,3,0.65088,car,car,True
drive_033,6,4,0.785728,car,car,True
drive_033,9,5,0.647425,car,car,True
drive_033,10,7,0.686732,car,car,True
drive_033,12,6,0.727626,car,car,True
drive_033,13,8,0.784684,car,car,True
drive_033,14,10,0.819811,car,car,True
drive_033,15,11,0.848793,car,car,True
drive_033,16,12,0.908494,bus,van,False
drive_038,5,1,0.835118,car,car,True
drive_038,6,2,0.879218,car,car,True
drive_038,7,3,0.897908,car,car,True
drive_038,8,4,0.878293,car,car,True
drive_038,9,6,0.823844,car,car,True
drive_038,10,12,0.622461,car,car,True
drive_038,11,7,0.816428,car,car,True
drive_038,12,11,0.703311,car,car,True
drive_038,13,8,0.780912,car,car,True
drive_038,14,10,0.837304,car,car,True
drive_038,15,13,0.761335,car,car,True
drive_038,16,9,0.857659,truck,bus,False
drive_038,17,14,0.773339,car,car,True
drive_038,18,15,0.912533,van,truck,False
drive_038,19,17,0.771434,car,car,True
drive_038,20,16,0.79159,car,car,True
drive_038,23,5,0.8983,truck,bus,False
drive_008,1,2,0.777179,car,car,True
drive_008,2,3,0.832347,van,truck,False
drive_008,3,6,0.812885,car,car,True
drive_008,5,5,0.770361,van,truck,False
drive_008,7,1,0.79867,truck,bus,False
drive_008,8,4,0.935439,car,car,True
drive_008,9,12,0.874616,van,truck,False
drive_008,10,11,0.83337,car,car,True
drive_008,11,16,0.871292,car,car,True
drive_008,13,9,0.891067,bus,van,False
drive_008,18,15,0.154834,car,car,True
drive_008,19,14,0.832141,car,car,True
drive_008,20,13,0.592664,car,car,True
drive_008,21,7,0.742341,car,car,True
